Summary,Issue Type,Description,Priority,Labels,Component/s
"Initialize NestJS backend project","Task","Create NestJS backend project with modular structure for auth, users, steam, games, library, metadata, search, recommendations, prices, jobs, notifications and observability.","High","mvp,foundation,backend","Backend"
"Setup Docker Compose environment","Task","Create Docker Compose configuration for API, worker, PostgreSQL, Redis, Elasticsearch, Prometheus and Grafana.","High","mvp,foundation,docker","Infrastructure"
"Setup PostgreSQL and Prisma","Task","Configure PostgreSQL connection, Prisma schema, migrations and initial seed structure.","High","mvp,foundation,database,prisma","Database"
"Setup Redis integration","Task","Configure Redis connection for BullMQ queues, caching, rate limiting and distributed locks.","High","mvp,foundation,redis","Backend"
"Implement health check endpoint","Task","Create /health endpoint that checks API status, PostgreSQL connection, Redis connection and Elasticsearch connection.","Medium","mvp,foundation,healthcheck","Backend"
"Create user and refresh token models","Task","Add User and RefreshToken database models with email, username, password hash, Steam ID, public profile flag and timestamps.","High","mvp,auth,database","Database"
"Implement user registration","Task","Create registration endpoint with validation, password hashing and duplicate email handling.","High","mvp,auth","Backend"
"Implement login with JWT","Task","Create login endpoint that validates credentials and returns JWT access token and refresh token.","High","mvp,auth,jwt","Backend"
"Implement refresh token rotation","Task","Create secure refresh token rotation with token invalidation and reuse protection.","High","mvp,auth,security","Backend"
"Implement current user profile endpoints","Task","Create endpoints for fetching and updating current user profile data.","Medium","mvp,auth,users","Backend"
"Create Steam integration module","Task","Create Steam module with API client, configuration, error handling and response mapping.","High","mvp,steam,integration","Steam Integration"
"Implement Steam profile linking","Task","Allow user to submit Steam ID or Steam profile URL. Resolve and validate Steam profile before saving it to the user account.","High","mvp,steam,users","Steam Integration"
"Create Steam sync database model","Task","Add SteamSyncJob model with status, user ID, startedAt, completedAt, error message and imported games count.","High","mvp,steam,database","Database"
"Setup BullMQ worker process","Task","Create separate worker process for background jobs and configure BullMQ queues with Redis.","High","mvp,jobs,bullmq","Infrastructure"
"Implement Steam library sync job","Task","Create background job that fetches user's owned Steam games and saves imported data.","High","mvp,steam,jobs","Steam Integration"
"Prevent duplicate Steam sync jobs","Task","Use Redis distributed lock or active sync status to prevent multiple simultaneous Steam sync jobs for the same user.","Medium","mvp,steam,redis,jobs","Steam Integration"
"Expose Steam sync status endpoint","Task","Create endpoint that returns current Steam sync status, progress, imported count and error information if sync failed.","Medium","mvp,steam,api","Backend"
"Create game library database models","Task","Add Game, GameExternalId and UserGame models to support internal games, external provider IDs and user-specific library data.","High","mvp,games,library,database","Database"
"Map Steam games to internal game records","Task","Create mapping logic that converts Steam imported games into internal Game and UserGame records.","High","mvp,steam,games","Backend"
"Create metadata provider abstraction","Task","Create common metadata provider interface for IGDB or RAWG. Provider should support search by title and fetching game details.","High","mvp,metadata,integration","Metadata"
"Implement metadata enrichment job","Task","Create background job that enriches imported games with title, description, cover, genres, platforms, developers, publishers and release date.","High","mvp,metadata,jobs","Metadata"
"Cache metadata provider responses","Task","Use Redis to cache IGDB or RAWG metadata responses and reduce repeated external API calls.","Medium","mvp,metadata,redis,cache","Metadata"
"Implement library list endpoint","Task","Create endpoint for returning user's imported game library with pagination, filters and basic sorting.","High","mvp,library,api","Backend"
"Implement game status update","Task","Allow user to update game status: BACKLOG, PLAYING, COMPLETED, DROPPED or WISHLIST.","High","mvp,library","Backend"
"Implement personal game rating and note","Task","Allow user to add rating, favorite flag and personal note to a game in their library.","Medium","mvp,library","Backend"
"Implement library statistics endpoint","Task","Return total games, completed games, backlog games, wishlist games, total playtime and top genres.","Medium","mvp,dashboard,library","Backend"
"Setup Elasticsearch service","Task","Add Elasticsearch to Docker Compose and configure connection from NestJS API and worker.","Medium","mvp,search,elasticsearch","Search"
"Create games Elasticsearch index mapping","Task","Create games_index mapping with fields for title, alternative titles, genres, platforms, developers, publishers, release year and description.","Medium","mvp,search,elasticsearch","Search"
"Implement game indexing job","Task","Create BullMQ job that indexes or updates game documents in Elasticsearch after PostgreSQL changes.","Medium","mvp,search,jobs","Search"
"Implement game search endpoint","Task","Create search endpoint with fuzzy search, genre filter, platform filter, release year filter and pagination.","Medium","mvp,search,api","Search"
"Create recommendation database models","Task","Add Recommendation and RecommendationReason models with score, type, user ID, game ID and generated reasons.","Medium","mvp,recommendations,database","Database"
